"Region","Lat","Long","TotalCases","Average","SD"
"Micronesia/",7.4256,150.5508,4073178,3563.58530183727,7769.00621928123
"Moldova/",47.4116,28.3699,342675759,299803.813648294,216802.018444753
"Monaco/",43.7333,7.4167,6720550,5879.74628171479,5970.96517090605
"Mongolia/",46.8625,103.8467,487716693,426698.769028871,436796.254023873
"Montenegro/",42.708678,19.37439,153358754,134172.138232721,106422.850099191
"Morocco/",31.7917,-7.0926,802955610,702498.346456693,482817.53677971
"Mozambique/",-18.665695,35.529562,136885472,119759.818022747,96041.856719121
"Namibia/",-22.9576,18.4904,104777930,91669.230096238,70031.2115955438
"Nauru/",-0.5228,166.9315,1184912,1036.66841644794,1924.66177193965
"Nepal/",28.1667,84.25,653536904,571773.319335083,402166.345303078
"Netherlands/Aruba",12.5211,-69.9683,22046253,19288.0603674541,16754.3293798187
"Netherlands/Bonaire, Sint Eustatius and Saba",12.1784,-68.2385,4937810,4320.04374453193,4749.27701270875
"Netherlands/Curacao",12.1696,-68.99,23320332,20402.7401574803,18707.4772605819
"Netherlands/Sint Maarten",18.0425,-63.0548,5714520,4999.58005249344,4393.94687481837
"Netherlands/",52.1326,5.2913,4053844551,3546670.64829396,3483473.41180983
"New Zealand/Cook Islands",-21.2367,-159.7777,2100967,1838.11636045494,2813.42417336384
"New Zealand/Niue",-19.0544,-169.8672,69378,60.6981627296588,177.033412467029
"New Zealand/",-40.9006,174.886,587613164,514097.256342957,793405.985406723
"Nicaragua/",12.865416,-85.207229,10111277,8846.26159230096,5573.55702692501
"Niger/",17.607789,8.081666,6313963,5524.0271216098,3408.10206980043
"Nigeria/",9.082,8.6753,188300124,164742.015748031,96773.9472761629
"North Macedonia/",41.6086,21.7453,202398382,177076.449693788,129366.327123094
"Norway/",60.472,8.4689,646890941,565958.828521435,641664.297464541
"Oman/",21.512583,55.923255,273461449,239248.861767279,144971.244572937
"Pakistan/",30.3753,69.3451,1079772495,944682.847769029,579946.841017757
"Palau/",7.515,134.5825,2074263,1814.7532808399,2494.43192231886
"Panama/",8.538,-80.7821,558467809,488598.258092738,358459.83601437
"Papua New Guinea/",-6.314993,143.95555,24996001,21868.7672790901,19500.1536145123
"Paraguay/",-23.4425,-58.4438,434528549,380164.959755031,289321.076966556
"Peru/",-9.19,-75.0152,2499413018,2186713.05161855,1494367.03531179
"Philippines/",12.879721,121.774017,2281636877,1996182.74453193,1608495.03035439
"Poland/",51.9194,19.1451,3643680024,3187821.54330709,2460031.34437025
"Portugal/",39.3999,-8.2245,2405740042,2104759.44181977,2176377.5094915
"Qatar/",25.3548,51.1839,282392958,247062.955380577,149921.504677519
"Romania/",45.9432,24.9668,1760871192,1540569.72178478,1250398.38513755
"Russia/",61.52401,105.318756,10578569842,9255091.72528434,7924201.76981899
"Rwanda/",-1.9403,29.8739,77702485,67981.176727909,57211.8750790411
"Saint Kitts and Nevis/",17.357822,-62.782998,2981130,2608.16272965879,2829.80169605487
"Saint Lucia/",13.9094,-60.9789,13983991,12234.4628171479,11913.2141319152
"Saint Vincent and the Grenadines/",12.9843,-61.2872,4860875,4252.73403324584,3932.60831514825
"Samoa/",-13.759,-172.1046,4965233,4344.03587051619,6839.484141628
"San Marino/",43.9424,12.4578,10185486,8911.18635170604,8262.95402600187
"Sao Tome and Principe/",0.1864,6.6131,3753278,3283.70778652668,2372.26187232645
"Saudi Arabia/",23.885942,45.079162,576241072,504147.919510061,263832.507154189
"Senegal/",14.4974,-14.4524,59667120,52202.2047244095,34253.8073938586
"Serbia/",44.0165,21.0059,1229634680,1075795.87051619,920705.900954811
"Seychelles/",-4.6796,55.492,24270209,21233.7786526684,19960.7371793587
"Sierra Leone/",8.460555,-11.779889,5661556,4953.24234470691,2783.36848391021
"Singapore/",1.2833,103.8333,723549534,633026.713910761,815994.87253301
"Slovakia/",48.669,19.699,1354411039,1184961.53893263,1060789.85594682
"Slovenia/",46.1512,14.9955,571300536,499825.490813648,484368.751305369
"Solomon Islands/",-9.6457,160.1562,7770208,6798.08223972004,9877.07582466189
"Somalia/",5.152149,46.199616,17864013,15629.0577427822,10593.5443378335
"South Africa/",-30.5595,22.9375,2613099489,2286176.28083989,1525380.87909751
"South Sudan/",6.877,31.307,11968118,10470.7944006999,6816.11442221382
"Spain/",40.463667,-3.74922,7071275148,6186592.43044619,5235197.51034408
"Sri Lanka/",7.873054,80.771797,394357499,345019.684164479,292757.607554371
"Sudan/",12.8628,30.2176,42936981,37565.1627296588,22509.380817825
"Summer Olympics 2020/",35.6491,139.7737,498688,436.297462817148,426.478703827548
"Suriname/",3.9193,-56.0278,44282284,38742.1557305337,34432.5602735985
"Sweden/",60.128161,18.643501,1471014062,1286976.43219598,1032244.12024543
"Switzerland/",46.8182,8.2275,1912980451,1673648.68853893,1694931.69787168
"Syria/",34.802075,38.996815,35209217,30804.2143482065,23075.2210283738
"Taiwan*/",23.7,121,1966380260,1720367.68153981,3150629.49019193
"Tajikistan/",38.861,71.2761,15269261,13358.9335083115,5799.19726742747
"Tanzania/",-6.369028,34.888822,19173667,16774.8617672791,17811.7966410347
"Thailand/",15.870032,100.992541,2095658184,1833471.72703412,1985611.14411134
"Timor-Leste/",-8.874217,125.727539,13419221,11740.3508311461,10497.9583357523
"Togo/",8.6195,0.8248,22732219,19888.2055993001,15972.4595829883
"Tonga/",-21.179,-175.1982,4975228,4352.78040244969,6661.6854937853
"Trinidad and Tobago/",10.6918,-61.2225,83638566,73174.5984251968,74539.357543155
"Tunisia/",33.886917,9.537499,644407283,563785.899387577,456799.270222857
"Turkey/",38.9637,35.2433,8840742699,7734683.02624672,6626790.04641982
"Tuvalu/",-7.1095,177.6493,322901,282.503062117235,830.478162720694
"US/",40,-100,53813184406,47080651.2738408,36474898.5147284
"Uganda/",1.373333,32.290275,103587926,90628.1067366579,70014.7289796363
"Ukraine/",48.3794,31.1656,3190613850,2791438.18897638,2175363.99090526
"United Arab Emirates/",23.424076,53.847818,653554125,571788.385826772,385572.478645765
"United Kingdom/Anguilla",18.2206,-63.0686,1584536,1386.29571303587,1615.80861812613
"United Kingdom/Bermuda",32.3078,-64.7505,7960882,6964.90113735783,7318.67981966878
"United Kingdom/British Virgin Islands",18.4207,-64.64,3442495,3011.80664916885,3106.26409658195
"United Kingdom/Cayman Islands",19.3133,-81.2546,11971733,10473.9571303587,12937.0375412629
"United Kingdom/Channel Islands",49.3723,-2.3644,0,0,0
"United Kingdom/Falkland Islands (Malvinas)",-51.7963,-59.5236,604830,529.160104986877,802.151704483599
"United Kingdom/Gibraltar",36.1408,-5.3536,9926484,8684.58792650919,8034.69410885482
"United Kingdom/Guernsey",49.448196,-2.58949,12210394,10682.7594050744,13486.1167711338
"United Kingdom/Isle of Man",54.2361,-4.5481,16241537,14209.5686789151,15808.2509185992
"United Kingdom/Jersey",49.2138,-2.1358,25842646,22609.489063867,25494.3425024776
"United Kingdom/Montserrat",16.742498,-62.187366,414462,362.608923884514,544.1082006052
"United Kingdom/Pitcairn Islands",-24.3768,-128.3242,932,0.815398075240595,1.61213898709962
